ID,VACANCY_TITLE,COMPANY_NAME,SALARY,CITY,DATE,PROGRAMMING_LANGUAGE,VACANCY_URL
93204701,Junior C++ разработчик алгоритмов геометрического моделирования,Ледас,70000,Новосибирск,2024-03-09,JS,https://hh.ru/vacancy/93204701
93883686,Младший программист 1С (Junior),ЛАНИТ,,Москва,2024-03-07,JS,https://hh.ru/vacancy/93883686
92540622,1С-Битрикс разработчик Junior/Middle,Группа компаний OPTI,100000,Челябинск,2024-03-08,JS,https://hh.ru/vacancy/92540622
87117314,Программист C# (Junior),ПРОГРАММНЫЙ ЦЕНТР,58000,Киров (Кировская область),2024-03-06,JS,https://hh.ru/vacancy/87117314
53327903,"Web-программист (PHP, Fullstack, Junior)",ПРОГРАММНЫЙ ЦЕНТР,58000,Киров (Кировская область),2024-03-06,JS,https://hh.ru/vacancy/53327903
94191374,Преподаватель IT-дисциплин (младшая школа),ЧУ ДО Московская школа программистов,90000,Санкт-Петербург,2024-03-07,JS,https://hh.ru/vacancy/94191374
93336196,Преподаватель IT дисциплин,ЧУ ДО Московская школа программистов,160000,Москва,2024-03-08,JS,https://hh.ru/vacancy/93336196
92935793,Преподаватель компьютерных курсов,Компьютерная Академия Top,60000,Щелково,2024-03-07,JS,https://hh.ru/vacancy/92935793
93449890,Преподаватель IT дисциплин,ЧУ ДО Московская школа программистов,100000,Королев,2024-03-08,JS,https://hh.ru/vacancy/93449890
91655267,Преподаватель ЕГЭ (математика),ЧУ ДО Московская школа программистов,130000,Москва,2024-03-09,JS,https://hh.ru/vacancy/91655267
93240575,Преподаватель ЕГЭ математика,ЧУ ДО Московская школа программистов,130000,Мытищи,2024-03-09,JS,https://hh.ru/vacancy/93240575
94369217,Junior разработчик С#,"АРМО, ГК",,Москва,2024-03-06,C#,https://hh.ru/vacancy/94369217
94401144,Младший разработчик C#,РТСИМ,40000,Казань,2024-03-07,C#,https://hh.ru/vacancy/94401144
94391819,Intern Data Engineer,Mindbox,35000,Москва,2024-03-07,C#,https://hh.ru/vacancy/94391819
94416276,Младший специалист по искусственному интеллекту (ML),Аривист,50000,Санкт-Петербург,2024-03-07,C#,https://hh.ru/vacancy/94416276
94164673,Программист C# (уровень Junior),Негоциант Стандарт Дистрибьюшн,75000,Владивосток,2024-03-04,C#,https://hh.ru/vacancy/94164673
91812755,Junior Game Designer,Фандог,,Санкт-Петербург,2024-03-04,C#,https://hh.ru/vacancy/91812755
94408686,Junior mobile developer (.Net),UDV Group,,Екатеринбург,2024-03-07,C#,https://hh.ru/vacancy/94408686
94320232,Cпециалист сопровождения ПО,Сеть аптек Апрель,70000,Краснодар,2024-03-06,C#,https://hh.ru/vacancy/94320232
94313345,Junior Rust разработчик (Synapse),SberTech,120000,Москва,2024-03-06,C#,https://hh.ru/vacancy/94313345
93844847,Junior C#/.NET6 разработчик,WSS-Consulting,60000,Москва,2024-03-07,C#,https://hh.ru/vacancy/93844847
